Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Chris Thompson,HOU,WR,13,6,5,83.3,84,0,32,14.0,16.8,0,0,0.0,0,3,0,0.6,8.4,2017
Justin Hunter,PIT,WR,7,10,4,40.0,23,1,7,2.3,5.8,0,0,0.0,0,0,0,1.2,8.3,2017
Trevor Davis,GB,WR,16,7,5,71.4,70,0,29,10.0,14.0,2,13,6.5,0,0,0,0.5,8.3,2017
Neal Sterling,NYJ,WR,11,11,6,54.5,82,0,35,7.5,13.7,0,0,0.0,0,0,0,0.7,8.2,2017
Michael Floyd,MIN,WR,11,17,10,58.8,78,0,19,4.6,7.8,0,0,0.0,0,0,0,0.7,7.8,2017
Breshad Perriman,BAL,WR,11,35,10,28.6,77,0,14,2.2,7.7,0,0,0.0,0,0,0,0.7,7.7,2017
Brian Quick,WAS,WR,11,8,6,75.0,76,0,31,9.5,12.7,0,0,0.0,0,0,0,0.7,7.6,2017
Tanner McEvoy,SEA,WR,15,10,5,50.0,113,0,53,11.3,22.6,0,0,0.0,0,1,1,0.5,7.3,2017
Willie Snead IV,NO,WR,11,16,8,50.0,92,0,26,5.8,11.5,0,0,0.0,0,1,1,0.7,7.2,2017
Amara Darboh,SEA,WR,16,13,8,61.5,71,0,16,5.5,8.9,0,0,0.0,0,0,0,0.4,7.1,2017
Brittan Golden,ARI,WR,13,9,5,55.6,70,0,29,7.8,14.0,0,0,0.0,0,0,0,0.5,7.0,2017
Sammie Coates,CLE,WR,12,11,6,54.5,70,0,38,6.4,11.7,0,0,0.0,0,0,0,0.6,7.0,2017
Pharoh Cooper,LAR,WR,16,19,11,57.9,84,0,26,4.4,7.6,1,6,6.0,0,3,1,0.4,7.0,2017
Leonte Carroo,MIA,WR,14,14,7,50.0,69,0,21,4.9,9.9,0,0,0.0,0,0,0,0.5,6.9,2017
Bryce Treggs,CLE,WR,6,18,5,27.8,79,0,20,4.4,15.8,1,6,6.0,0,1,1,1.1,6.5,2017
Chad Williams,ARI,WR,6,7,3,42.9,31,0,15,4.4,10.3,2,33,16.5,0,0,0,1.1,6.4,2017
Vince Mayle,BAL,WR,16,1,0,0.0,0,0,0,0.0,0.0,2,2,1.0,1,0,0,0.4,6.2,2017
Markus Wheaton,CHI,WR,11,17,3,17.6,51,0,22,3.0,17.0,0,0,0.0,0,0,0,0.5,5.1,2017
Ifeanyi Momah,ARI,WR,9,2,1,50.0,46,0,46,23.0,46.0,0,0,0.0,0,0,0,0.5,4.6,2017
Jared Abbrederis,DET,WR,7,7,3,42.9,44,0,25,6.3,14.7,0,0,0.0,0,0,0,0.6,4.4,2017
Michael Clark,GB,WR,2,14,4,28.6,41,0,19,2.9,10.2,0,0,0.0,0,0,0,2.0,4.1,2017
Quan Bray,IND,WR,9,4,3,75.0,39,0,22,9.8,13.0,0,0,0.0,0,1,0,0.4,3.9,2017
Bernard Reedy,NE,WR,11,2,2,100.0,21,0,15,10.5,10.5,3,17,5.7,0,1,0,0.3,3.8,2017
Tanner Gentry,CHI,WR,4,6,3,50.0,35,0,15,5.8,11.7,0,0,0.0,0,0,0,0.9,3.5,2017
Noah Brown,DAL,WR,13,9,4,44.4,33,0,14,3.7,8.2,0,0,0.0,0,0,0,0.3,3.3,2017
JoJo Natson,NYJ,WR,7,5,2,40.0,18,0,19,3.6,9.0,1,15,15.0,0,1,0,0.5,3.3,2017
Nick Williams,ATL,WR,1,4,3,75.0,30,0,14,7.5,10.0,0,0,0.0,0,0,0,3.0,3.0,2017
Brendan Langley,DEN,WR,11,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.3,3.0,2017
Jordan Leslie,CLE,WR,2,1,1,100.0,26,0,26,26.0,26.0,0,0,0.0,0,0,0,1.3,2.6,2017
Ryan Switzer,DAL,WR,16,7,6,85.7,41,0,12,5.9,6.8,4,5,1.2,0,1,1,0.2,2.6,2017
Chris Matthews,BAL,WR,6,6,3,50.0,25,0,12,4.2,8.3,0,0,0.0,0,0,0,0.4,2.5,2017
Marcus Johnson,PHI,WR,10,8,5,62.5,45,0,16,5.6,9.0,0,0,0.0,0,1,1,0.2,2.5,2017
DeAndrew White,HOU,WR,2,7,1,14.3,24,0,24,3.4,24.0,0,0,0.0,0,1,0,1.2,2.4,2017
Griff Whalen,BAL,WR,2,6,4,66.7,23,0,9,3.8,5.8,0,0,0.0,0,0,0,1.2,2.3,2017
Jehu Chesson,KC,WR,12,4,2,50.0,18,0,10,4.5,9.0,0,0,0.0,0,0,0,0.2,1.8,2017
Allen Robinson II,JAX,WR,1,1,1,100.0,17,0,17,17.0,17.0,0,0,0.0,0,0,0,1.7,1.7,2017
Darius Powe,NYG,WR,1,4,2,50.0,13,0,8,3.2,6.5,0,0,0.0,0,0,0,1.3,1.3,2017
Arrelious Benn,JAX,WR,9,2,1,50.0,12,0,12,6.0,12.0,0,0,0.0,0,0,0,0.1,1.2,2017
Jeff Janis,GB,WR,16,5,2,40.0,12,0,12,2.4,6.0,0,0,0.0,0,0,0,0.1,1.2,2017
Shelton Gibson,PHI,WR,5,3,2,66.7,11,0,6,3.7,5.5,0,0,0.0,0,0,0,0.2,1.1,2017
Harry Douglas,TEN,WR,2,3,1,33.3,8,0,8,2.7,8.0,0,0,0.0,0,0,0,0.4,0.8,2017
Cobi Hamilton,HOU,WR,3,6,1,16.7,8,0,8,1.3,8.0,0,0,0.0,0,0,0,0.3,0.8,2017
Kevin White,CHI,WR,1,4,2,50.0,6,0,6,1.5,3.0,0,0,0.0,0,0,0,0.6,0.6,2017
Eric Weems,TEN,WR,16,2,1,50.0,5,0,5,2.5,5.0,1,0,0.0,0,0,0,0.0,0.5,2017
Larry Pinkard,JAX,WR,4,1,1,100.0,5,0,5,5.0,5.0,0,0,0.0,0,0,0,0.1,0.5,2017
Maxwell McCaffrey,SF,WR,5,1,1,100.0,4,0,4,4.0,4.0,0,0,0.0,0,0,0,0.1,0.4,2017
Charone Peake,NYJ,WR,3,1,1,100.0,3,0,3,3.0,3.0,0,0,0.0,0,0,0,0.1,0.3,2017
Matt Hazel,CLE,WR,3,1,1,100.0,1,0,1,1.0,1.0,0,0,0.0,0,0,0,0.0,0.1,2017
Matthew Slater,NE,WR,9,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
Dwayne Harris,NYG,WR,5,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
Bradley Marquez,DET,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
Cody Core,CIN,WR,13,4,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
Rashawn Scott,MIA,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
Ed Eagan,NYG,WR,4,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2017
